,TF,At_ShortName_TF,At_description_TF,Target,At_ShortName_Target,At_description_Target,Importance
71,Lsat_1_v5_gn_9_38680,WRKY70,WRKY DNA-binding protein 70,Lsat_1_v5_gn_2_126880,WRKY54,WRKY DNA-binding protein 54,0.069582463
161,Lsat_1_v5_gn_3_139241,WRKY46,WRKY DNA-binding protein 46,Lsat_1_v5_gn_7_60801,WRKY50,WRKY DNA-binding protein 50,0.064011093
190,Lsat_1_v5_gn_7_6501,BBX15,B-box type zinc finger protein with CCT domain,Lsat_1_v5_gn_4_65921,GPRI1,GBF's pro-rich region-interacting factor 1,0.062788785
881,Lsat_1_v5_gn_7_60801,WRKY50,WRKY DNA-binding protein 50,Lsat_1_v5_gn_3_139241,WRKY46,WRKY DNA-binding protein 46,0.050543698
890,Lsat_1_v5_gn_2_126880,WRKY54,WRKY DNA-binding protein 54,Lsat_1_v5_gn_9_38680,WRKY70,WRKY DNA-binding protein 70,0.050470188
904,Lsat_1_v5_gn_3_139241,WRKY46,WRKY DNA-binding protein 46,Lsat_1_v5_gn_2_126880,WRKY54,WRKY DNA-binding protein 54,0.050361113
1110,Lsat_1_v5_gn_3_99620,MYB16,myb domain protein 16,Lsat_1_v5_gn_7_6501,BBX15,B-box type zinc finger protein with CCT domain,0.048816611
1721,Lsat_1_v5_gn_4_65921,GPRI1,GBF's pro-rich region-interacting factor 1,Lsat_1_v5_gn_7_6501,BBX15,B-box type zinc finger protein with CCT domain,0.045349786
2193,Lsat_1_v5_gn_9_38680,WRKY70,WRKY DNA-binding protein 70,Lsat_1_v5_gn_3_139241,WRKY46,WRKY DNA-binding protein 46,0.043555045
2346,Lsat_1_v5_gn_7_60801,WRKY50,WRKY DNA-binding protein 50,Lsat_1_v5_gn_2_126880,WRKY54,WRKY DNA-binding protein 54,0.042992746
2502,Lsat_1_v5_gn_2_126880,WRKY54,WRKY DNA-binding protein 54,Lsat_1_v5_gn_3_139241,WRKY46,WRKY DNA-binding protein 46,0.042462062
3012,Lsat_1_v5_gn_3_139241,WRKY46,WRKY DNA-binding protein 46,Lsat_1_v5_gn_9_38680,WRKY70,WRKY DNA-binding protein 70,0.040885312
3015,Lsat_1_v5_gn_7_6501,BBX15,B-box type zinc finger protein with CCT domain,Lsat_1_v5_gn_2_126920,WRKY54,WRKY DNA-binding protein 54,0.040869535
4492,Lsat_1_v5_gn_4_100080,ATHB-15,Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein,Lsat_1_v5_gn_3_59241,BBX15,B-box type zinc finger protein with CCT domain,0.037438043
4746,Lsat_1_v5_gn_6_58420,AT5G48560,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,Lsat_1_v5_gn_7_6501,BBX15,B-box type zinc finger protein with CCT domain,0.036963116
7531,Lsat_1_v5_gn_5_44521,HB6,homeobox protein 6,Lsat_1_v5_gn_7_6501,BBX15,B-box type zinc finger protein with CCT domain,0.032798476
9742,Lsat_1_v5_gn_1_46781,TINY2,Integrase-type DNA-binding superfamily protein,Lsat_1_v5_gn_4_65921,GPRI1,GBF's pro-rich region-interacting factor 1,0.030452105
10758,Lsat_1_v5_gn_4_65921,GPRI1,GBF's pro-rich region-interacting factor 1,Lsat_1_v5_gn_2_126920,WRKY54,WRKY DNA-binding protein 54,0.02950674
